,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
0,Lionel Messi ,RW,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,74,59,88,48,22,93,90,74,94,13,28,26,6,11,15,14,8
2,Sergio Aguero ,ST,70,90,68,79,85,89,82,72,63,89,92,86,86,88,90,87,80,74,73,84,57,24,91,83,80,90,13,20,12,13,15,6,11,14
3,Angel Di Maria ,RW CM CAM,88,74,53,83,77,87,83,72,82,87,86,86,90,80,79,87,72,78,64,79,76,38,82,85,73,80,37,59,56,10,7,11,12,11
4,Paulo Dybala ,ST CF,78,89,65,80,86,91,86,82,63,91,91,86,91,85,85,82,75,81,65,86,48,24,85,80,82,82,14,20,20,5,4,4,5,8
5,Nicolas Gaitan ,LM,83,73,54,82,81,86,88,72,78,85,85,80,87,84,81,72,68,71,50,74,57,40,79,82,71,80,30,42,43,8,11,9,7,5
10,Javier Pastore ,CM LW RW,78,73,63,87,78,88,83,69,83,87,72,75,85,84,58,78,49,75,66,76,65,69,80,88,75,75,49,59,51,14,9,6,10,12
20,Erik Lamela ,RM LM,77,75,71,83,80,86,83,79,73,83,81,77,78,77,71,80,64,82,57,82,74,43,79,81,75,73,37,47,39,10,15,11,8,13
21,Alejandro Gomez ,LW,80,69,36,80,72,86,76,69,72,87,92,86,92,76,94,69,70,78,48,76,56,40,76,76,69,72,24,30,34,8,11,12,9,6
23,Diego Perotti ,CF LW,79,66,57,82,60,86,72,64,69,87,85,79,80,80,79,73,64,76,55,75,51,36,78,84,80,76,24,31,22,5,8,14,6,8
26,Fernando Belluschi ,CAM CM,81,69,58,81,75,77,85,80,80,82,69,70,78,80,74,83,67,63,67,80,73,69,74,86,75,85,45,65,59,11,9,12,13,7
28,Eduardo Salvio ,RM,77,73,67,74,72,81,75,64,70,82,91,90,85,77,84,75,87,73,62,73,67,52,80,70,60,78,40,38,33,9,11,9,5,14
31,Manuel Lanzini ,CAM LM,74,69,56,77,61,85,75,72,75,85,85,79,87,73,88,73,76,79,45,72,35,23,72,76,68,72,20,26,25,14,9,6,7,15
33,Luciano Vietto ,ST,66,82,69,79,81,86,83,70,59,85,78,75,79,82,87,70,74,69,57,75,66,35,83,73,69,71,23,40,32,14,14,8,8,12
34,Pablo Batalla ,CAM,80,73,79,83,72,80,76,78,80,78,74,72,83,78,86,72,72,76,65,72,74,42,75,81,82,75,31,45,31,8,12,14,12,11
35,Lisandro Lopez ,ST,66,79,76,75,74,77,76,73,68,80,75,80,82,76,79,77,79,82,73,75,57,59,81,71,84,79,25,55,24,8,10,11,13,6
38,Rodrigo Palacio ,ST,70,80,76,74,78,83,78,67,60,85,83,79,82,78,83,70,80,69,62,62,79,39,85,76,79,80,31,33,30,17,14,17,17,17
39,Angel Correa ,ST CAM RM LM,64,81,61,65,77,87,82,65,56,85,86,80,87,82,83,78,54,69,59,82,41,45,79,69,55,71,46,51,44,13,10,9,8,16
40,Ignacio Piatti ,LW LM CAM CF,69,76,45,76,72,83,76,64,70,83,80,75,84,80,79,80,46,80,67,75,66,50,80,77,70,82,40,46,33,14,13,7,7,15
42,Jose Sosa ,CM CAM,78,68,50,80,77,80,86,85,78,82,77,77,78,74,77,79,52,75,69,73,69,60,76,82,75,78,54,64,60,11,15,13,6,9
50,Diego Valeri ,CAM CM,78,70,65,78,68,76,80,79,76,78,69,67,73,80,73,79,68,69,64,84,53,36,79,82,71,80,30,33,30,15,15,8,10,12
51,Pablo Piatti ,LW LM,76,73,71,75,72,82,81,58,63,78,88,79,85,73,91,63,76,65,52,70,55,51,80,74,59,68,36,35,38,10,8,13,8,10
56,Diego Buonanotte ,CAM,74,63,36,80,61,80,83,76,74,81,77,79,93,57,96,69,57,63,36,81,30,25,70,80,71,71,14,31,18,15,16,16,9,13
58,Rogelio Funes Mori ,ST,65,81,76,70,74,75,75,58,65,76,83,77,79,75,73,75,82,83,77,68,80,49,80,72,70,76,47,45,44,8,10,15,6,15
60,Pablo De Blasis ,LM RM ST,68,71,71,74,60,82,77,62,66,80,87,76,93,76,95,75,92,77,45,73,72,28,72,71,70,74,37,39,37,13,11,8,8,8
70,Franco Cervi ,LM CAM RM,70,64,48,74,55,83,70,50,63,79,91,88,92,78,86,68,60,72,41,65,60,33,72,73,56,58,39,50,38,12,8,9,11,10
71,Mauro Zarate ,ST CF,66,78,56,72,78,86,81,79,60,87,82,78,86,75,74,80,69,69,62,82,66,38,78,63,70,72,22,34,30,7,16,16,6,12
73,Lautaro Acosta ,LW RW,57,69,55,78,71,80,65,45,66,77,92,94,88,78,90,77,75,68,39,68,73,42,76,77,63,74,26,30,24,12,6,14,12,9
74,Sebastian Blanco ,LM,76,65,73,77,76,75,59,60,74,77,79,81,89,76,80,77,66,84,48,74,63,33,70,75,61,65,18,22,32,9,7,9,13,12
79,Ismael Sosa ,RM ST,69,76,71,76,56,76,70,54,65,76,91,89,83,70,70,76,68,75,70,70,67,50,77,73,60,78,39,47,39,14,11,8,11,12
80,Alexander Szymanowski ,LM LW,78,77,67,74,66,77,69,57,63,73,91,87,84,72,87,68,55,75,60,67,55,23,75,76,70,71,33,42,45,11,8,10,12,6
85,Matias Delgado ,CAM CF,76,71,56,80,69,74,84,81,78,81,71,62,74,65,72,71,56,72,81,73,65,61,72,83,84,78,13,13,15,10,14,12,6,11
86,Mauro Diaz ,CAM,70,67,54,76,62,78,75,74,72,79,79,69,88,79,86,70,59,69,54,66,60,32,76,79,69,75,45,45,32,12,9,6,8,16
91,Gaston Lezcano ,LW RW,73,72,68,66,62,80,64,65,64,76,87,84,84,74,87,81,81,78,69,75,61,23,76,62,65,75,20,18,18,7,11,14,8,9
92,Ricardo Alvarez ,CAM CF,80,68,64,77,73,81,78,76,77,81,64,67,74,75,56,76,74,69,76,75,63,53,73,73,63,74,45,58,54,5,11,11,14,10
