,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
11,Geronimo Rulli ,GK,12,15,12,32,16,15,19,20,23,15,54,48,58,77,50,24,68,42,73,17,26,21,12,58,24,30,16,13,17,85,79,75,82,86
32,Sergio Romero ,GK,11,14,12,38,17,12,12,13,36,25,44,42,52,79,44,14,63,35,75,11,33,21,11,42,16,52,14,11,15,76,70,81,76,82
37,Marcelo Barovero ,GK,14,13,13,36,18,19,19,19,23,12,35,35,32,76,59,14,77,34,43,19,34,16,17,51,20,51,14,16,14,78,75,69,80,80
43,Nahuel Guzman ,GK,20,10,15,39,12,21,18,22,46,25,51,52,70,78,53,25,66,38,78,17,33,29,19,55,12,30,12,13,12,77,76,71,78,80
44,Willy Caballero ,GK,12,11,22,33,13,12,23,11,48,30,49,54,39,75,55,23,70,44,76,14,30,22,7,38,16,56,15,11,12,79,75,69,78,80
53,Sebastian Torrico ,GK,18,20,14,23,18,17,14,21,18,22,48,49,32,72,51,24,60,25,58,12,20,21,13,37,21,26,14,14,15,77,72,75,80,80
54,Agustin Marchesin ,GK,18,14,11,37,15,24,16,15,34,20,49,52,68,75,60,12,75,38,59,12,27,15,18,65,14,49,14,15,15,73,75,74,80,81
64,Mariano Andujar ,GK,14,11,10,23,11,16,13,16,23,20,45,45,40,71,40,25,70,38,70,10,39,20,13,40,23,60,11,18,19,77,76,64,79,78
66,Franco Armani ,GK,18,11,11,24,15,19,14,16,21,19,30,34,36,76,34,20,57,25,72,17,18,20,18,55,20,28,14,13,13,76,73,67,79,77
83,Agustin Orion ,GK,10,13,13,20,10,13,13,11,11,20,44,44,49,72,52,12,55,37,73,15,35,23,19,42,18,27,16,14,16,74,79,75,81,74
105,Mariano Barbosa ,GK,12,11,13,38,12,15,11,12,36,17,42,43,48,75,47,25,63,31,62,12,37,22,12,17,24,65,13,15,11,75,73,79,71,78
108,Fernando Monetti ,GK,19,19,23,37,19,19,23,13,25,23,56,57,48,66,59,24,59,32,64,15,29,18,15,46,24,21,18,14,24,78,78,75,71,80
123,German Lux ,GK,12,13,13,12,12,11,13,12,29,35,29,32,56,75,55,12,68,43,72,11,45,17,11,49,12,43,15,13,14,74,69,78,75,78
126,Albano Bizzarri ,GK,11,17,10,27,19,18,19,18,26,23,55,45,53,68,51,19,68,31,55,19,40,19,10,49,20,60,12,12,11,74,76,67,79,72
147,Juan Pablo Carrizo ,GK,12,10,12,33,11,13,11,13,32,24,59,48,56,71,60,23,75,31,65,11,25,20,15,59,22,67,14,12,11,77,74,72,73,76
162,Cristian Campestrini ,GK,11,10,13,23,11,12,11,15,12,15,24,26,30,71,50,24,60,38,72,10,45,13,12,38,21,61,10,12,11,76,72,66,72,75
174,Guillermo Sara ,GK,14,21,23,29,19,20,24,21,23,17,41,44,30,77,53,23,72,30,70,17,23,24,15,46,62,26,13,12,16,74,70,75,69,77
183,Luciano Pocrnjic ,GK,14,12,16,16,11,10,12,13,19,13,28,29,41,78,35,10,32,28,52,10,28,15,11,34,24,34,14,10,10,74,72,64,74,73
192,Rodrigo Rey ,GK,18,18,12,29,15,20,17,17,20,23,44,43,43,61,50,25,58,31,56,13,30,20,12,50,23,42,12,18,13,71,75,69,71,79
203,Marcos Diaz ,GK,17,11,15,24,11,13,13,15,21,16,37,39,30,71,35,25,53,35,72,13,43,18,14,38,23,23,13,21,22,70,68,64,78,76
215,Javier Garcia ,GK,11,11,12,13,14,11,13,13,12,15,35,35,38,65,43,12,63,31,41,14,17,24,10,53,19,22,14,14,11,79,67,75,67,79
229,Jorge Broun ,GK,14,17,16,24,17,15,14,12,22,16,41,45,30,73,44,22,68,30,79,18,18,17,18,38,23,27,20,14,19,70,65,69,76,78
235,Oscar Ustari ,GK,15,14,14,23,13,13,14,15,22,29,56,62,60,70,64,17,81,37,80,14,38,28,15,59,18,51,12,12,13,77,68,79,65,73
243,Julian Speroni ,GK,13,13,11,24,12,12,15,12,23,14,42,43,48,68,55,20,74,33,43,12,21,17,8,34,22,35,12,12,15,75,70,67,69,74
253,Luis Ardente ,GK,13,12,11,16,10,11,15,16,23,13,25,21,20,62,16,20,26,14,69,12,18,10,10,50,66,26,14,13,12,70,72,82,70,75
290,Nereo Fernandez ,GK,20,22,23,15,22,19,15,19,22,15,42,44,58,61,48,23,58,37,78,10,36,28,12,27,24,60,13,15,13,66,71,62,78,70
