,name,position,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
6,Nicolas Otamendi ,CB,52,53,86,64,56,41,50,39,66,60,68,75,71,78,62,69,90,78,82,56,89,84,49,45,44,74,83,85,85,12,5,8,11,12
14,Gonzalo Rodriguez ,CB,38,44,86,72,22,62,50,46,76,72,68,68,64,80,60,68,86,66,80,36,80,86,32,64,74,76,84,86,82,12,4,11,12,9
24,Federico Fazio ,CB,44,41,87,64,35,48,46,37,62,69,33,32,29,77,33,63,44,69,89,26,82,81,32,47,33,82,80,83,77,8,9,12,11,14
25,Gustavo Cabral ,CB,35,22,81,74,28,49,33,48,59,61,52,51,59,76,63,50,86,74,78,29,84,80,40,49,47,59,82,79,84,11,7,11,7,11
29,Federico Fernandez ,CB,23,26,80,70,21,39,49,42,56,66,54,53,48,72,48,27,76,68,79,29,78,82,36,44,42,72,82,79,78,12,12,13,14,12
30,Lisandro Lopez ,CB,33,50,82,66,59,61,37,32,58,68,64,69,66,79,55,69,88,73,80,44,80,81,38,41,48,75,77,78,80,14,12,8,6,13
41,Victor Cuesta ,CB,43,48,83,70,27,58,32,34,68,65,62,58,55,75,54,47,80,76,80,43,76,82,55,50,44,55,78,78,75,8,12,11,8,15
46,Martin Demichelis ,CB,53,39,84,66,36,33,27,31,63,53,33,34,32,72,55,48,72,54,85,35,87,75,29,40,46,85,77,81,71,7,11,12,7,6
52,Santiago Gentiletti ,CB,49,13,76,63,30,60,61,63,67,65,69,69,61,76,62,78,78,55,79,48,80,79,29,52,43,74,80,80,78,14,9,12,6,14
63,Nicolas Burdisso ,CB,34,34,80,54,19,40,40,21,55,52,68,55,50,71,62,24,89,55,73,23,85,77,25,38,41,69,79,79,78,8,13,11,8,12
